t_ms,x_mm,y_mm,z_mm,dx_mm,dy_mm,dz_mm,x_pulse,y_pulse,z_pulse
183,27.000000,2.078125,1.500000,-1.000000,0.015625,0.000000,27000,2078,1500
184,26.000000,2.093750,1.500000,-1.000000,0.015625,0.000000,26000,2094,1500
185,25.000000,2.109375,1.500000,-1.000000,0.015625,0.000000,25000,2109,1500
186,24.000000,2.125000,1.500000,-1.000000,0.015625,0.000000,24000,2125,1500
187,23.000000,2.140625,1.500000,-1.000000,0.015625,0.000000,23000,2141,1500
188,22.000000,2.156250,1.500000,-1.000000,0.015625,0.000000,22000,2156,1500
189,21.000000,2.171875,1.500000,-1.000000,0.015625,0.000000,21000,2172,1500
190,20.000000,2.187500,1.500000,-1.000000,0.015625,0.000000,20000,2188,1500
191,19.000000,2.203125,1.500000,-1.000000,0.015625,0.000000,19000,2203,1500
192,18.000000,2.218750,1.500000,-1.000000,0.015625,0.000000,18000,2219,1500
193,17.000000,2.234375,1.500000,-1.000000,0.015625,0.000000,17000,2234,1500
194,16.000000,2.250000,1.500000,-1.000000,0.015625,0.000000,16000,2250,1500
195,15.000000,2.265625,1.500000,-1.000000,0.015625,0.000000,15000,2266,1500
196,14.000000,2.281250,1.500000,-1.000000,0.015625,0.000000,14000,2281,1500
197,13.000000,2.296875,1.500000,-1.000000,0.015625,0.000000,13000,2297,1500
198,12.000000,2.312500,1.500000,-1.000000,0.015625,0.000000,12000,2313,1500
199,11.000000,2.328125,1.500000,-1.000000,0.015625,0.000000,11000,2328,1500
200,10.000000,2.343750,1.500000,-1.000000,0.015625,0.000000,10000,2344,1500
201,9.000000,2.359375,1.500000,-1.000000,0.015625,0.000000,9000,2359,1500
202,8.000000,2.375000,1.500000,-1.000000,0.015625,0.000000,8000,2375,1500
203,7.000000,2.390625,1.500000,-1.000000,0.015625,0.000000,7000,2391,1500
204,6.000000,2.406250,1.500000,-1.000000,0.015625,0.000000,6000,2406,1500
205,5.000000,2.421875,1.500000,-1.000000,0.015625,0.000000,5000,2422,1500
206,4.000000,2.437500,1.500000,-1.000000,0.015625,0.000000,4000,2438,1500
207,3.000000,2.453125,1.500000,-1.000000,0.015625,0.000000,3000,2453,1500
208,2.000000,2.468750,1.500000,-1.000000,0.015625,0.000000,2000,2469,1500
209,1.000000,2.484375,1.500000,-1.000000,0.015625,0.000000,1000,2484,1500
210,0.000000,2.500000,1.500000,-1.000000,0.015625,0.000000,0,2500,1500
211,-1.000000,2.515625,1.500000,-1.000000,0.015625,0.000000,-1000,2516,1500
212,-2.000000,2.531250,1.500000,-1.000000,0.015625,0.000000,-2000,2531,1500
213,-3.000000,2.546875,1.500000,-1.000000,0.015625,0.000000,-3000,2547,1500
214,-4.000000,2.562500,1.500000,-1.000000,0.015625,0.000000,-4000,2562,1500
215,-5.000000,2.578125,1.500000,-1.000000,0.015625,0.000000,-5000,2578,1500
216,-6.000000,2.593750,1.500000,-1.000000,0.015625,0.000000,-6000,2594,1500
217,-7.000000,2.609375,1.500000,-1.000000,0.015625,0.000000,-7000,2609,1500
218,-8.000000,2.625000,1.500000,-1.000000,0.015625,0.000000,-8000,2625,1500
219,-9.000000,2.640625,1.500000,-1.000000,0.015625,0.000000,-9000,2641,1500
220,-10.000000,2.656250,1.500000,-1.000000,0.015625,0.000000,-10000,2656,1500
221,-11.000000,2.671875,1.500000,-1.000000,0.015625,0.000000,-11000,2672,1500
222,-12.000000,2.687500,1.500000,-1.000000,0.015625,0.000000,-12000,2688,1500
223,-13.000000,2.703125,1.500000,-1.000000,0.015625,0.000000,-13000,2703,1500
224,-14.000000,2.718750,1.500000,-1.000000,0.015625,0.000000,-14000,2719,1500
225,-15.000000,2.734375,1.500000,-1.000000,0.015625,0.000000,-15000,2734,1500
226,-16.000000,2.750000,1.500000,-1.000000,0.015625,0.000000,-16000,2750,1500
227,-17.000000,2.765625,1.500000,-1.000000,0.015625,0.000000,-17000,2766,1500
228,-18.000000,2.781250,1.500000,-1.000000,0.015625,0.000000,-18000,2781,1500
229,-19.000000,2.796875,1.500000,-1.000000,0.015625,0.000000,-19000,2797,1500
230,-20.000000,2.812500,1.500000,-1.000000,0.015625,0.000000,-20000,2813,1500
231,-21.000000,2.828125,1.500000,-1.000000,0.015625,0.000000,-21000,2828,1500
